location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
SR,2020-01-01,ChIJUdXT2dU2CI0RsjYpccDhNxA,Q730,country/SUR,SR,Suriname,SR,SUR,0,0,0,,0,0,,,,,,,,586634,294822,291812,197114,384258,3.76,0.72,104831,102231,95772,82786,72724,64828,36928,18685,7849,3985250737,6854,287082,4.0,-56.0,163820,139976,692,71.57,25.0,12.5,16.9,219.754,118.443,56.7,21.7,2.7569,1.2101,339.327972,89.513321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.314815,21.166667,31.62963,0.084667,21.759259,76.175431
SR,2020-01-02,ChIJUdXT2dU2CI0RsjYpccDhNxA,Q730,country/SUR,SR,Suriname,SR,SUR,0,0,0,,0,0,,,,,,,,586634,294822,291812,197114,384258,3.76,0.72,104831,102231,95772,82786,72724,64828,36928,18685,7849,3985250737,6854,287082,4.0,-56.0,163820,139976,692,71.57,25.0,12.5,16.9,219.754,118.443,56.7,21.7,2.7569,1.2101,339.327972,89.513321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.819444,21.347222,29.305556,0.0,21.402778,77.717681
SR,2020-01-03,ChIJUdXT2dU2CI0RsjYpccDhNxA,Q730,country/SUR,SR,Suriname,SR,SUR,0,0,0,,0,0,,,,,,,,586634,294822,291812,197114,384258,3.76,0.72,104831,102231,95772,82786,72724,64828,36928,18685,7849,3985250737,6854,287082,4.0,-56.0,163820,139976,692,71.57,25.0,12.5,16.9,219.754,118.443,56.7,21.7,2.7569,1.2101,339.327972,89.513321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.148148,20.796296,31.333333,0.0,22.018519,73.680131
SR,2020-01-04,ChIJUdXT2dU2CI0RsjYpccDhNxA,Q730,country/SUR,SR,Suriname,SR,SUR,0,0,0,,0,0,,,,,,,,586634,294822,291812,197114,384258,3.76,0.72,104831,102231,95772,82786,72724,64828,36928,18685,7849,3985250737,6854,287082,4.0,-56.0,163820,139976,692,71.57,25.0,12.5,16.9,219.754,118.443,56.7,21.7,2.7569,1.2101,339.327972,89.513321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.388889,22.166667,30.703704,0.508,22.555556,75.127559
SR,2020-01-05,ChIJUdXT2dU2CI0RsjYpccDhNxA,Q730,country/SUR,SR,Suriname,SR,SUR,0,0,0,,0,0,,,,,,,,586634,294822,291812,197114,384258,3.76,0.72,104831,102231,95772,82786,72724,64828,36928,18685,7849,3985250737,6854,287082,4.0,-56.0,163820,139976,692,71.57,25.0,12.5,16.9,219.754,118.443,56.7,21.7,2.7569,1.2101,339.327972,89.513321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.537037,22.333333,30.62963,0.0,22.074074,72.444238
SR,2020-01-06,ChIJUdXT2dU2CI0RsjYpccDhNxA,Q730,country/SUR,SR,Suriname,SR,SUR,0,0,0,,0,0,,,,,,,,586634,294822,291812,197114,384258,3.76,0.72,104831,102231,95772,82786,72724,64828,36928,18685,7849,3985250737,6854,287082,4.0,-56.0,163820,139976,692,71.57,25.0,12.5,16.9,219.754,118.443,56.7,21.7,2.7569,1.2101,339.327972,89.513321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.472222,23.0,30.0,0.0,22.75,80.048072
SR,2020-01-07,ChIJUdXT2dU2CI0RsjYpccDhNxA,Q730,country/SUR,SR,Suriname,SR,SUR,0,0,0,,0,0,,,,,,,,586634,294822,291812,197114,384258,3.76,0.72,104831,102231,95772,82786,72724,64828,36928,18685,7849,3985250737,6854,287082,4.0,-56.0,163820,139976,692,71.57,25.0,12.5,16.9,219.754,118.443,56.7,21.7,2.7569,1.2101,339.327972,89.513321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.833333,23.703704,32.333333,1.693333,22.888889,74.572363
SR,2020-01-08,ChIJUdXT2dU2CI0RsjYpccDhNxA,Q730,country/SUR,SR,Suriname,SR,SUR,0,0,0,,0,0,,,,,,,,586634,294822,291812,197114,384258,3.76,0.72,104831,102231,95772,82786,72724,64828,36928,18685,7849,3985250737,6854,287082,4.0,-56.0,163820,139976,692,71.57,25.0,12.5,16.9,219.754,118.443,56.7,21.7,2.7569,1.2101,339.327972,89.513321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.333333,24.407407,30.407407,2.370667,23.537037,79.983057
SR,2020-01-09,ChIJUdXT2dU2CI0RsjYpccDhNxA,Q730,country/SUR,SR,Suriname,SR,SUR,0,0,0,,0,0,,,,,,,,586634,294822,291812,197114,384258,3.76,0.72,104831,102231,95772,82786,72724,64828,36928,18685,7849,3985250737,6854,287082,4.0,-56.0,163820,139976,692,71.57,25.0,12.5,16.9,219.754,118.443,56.7,21.7,2.7569,1.2101,339.327972,89.513321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.12963,23.537037,31.666667,6.011333,22.888889,73.370437
SR,2020-01-10,ChIJUdXT2dU2CI0RsjYpccDhNxA,Q730,country/SUR,SR,Suriname,SR,SUR,0,0,0,,0,0,,,,,,,,586634,294822,291812,197114,384258,3.76,0.72,104831,102231,95772,82786,72724,64828,36928,18685,7849,3985250737,6854,287082,4.0,-56.0,163820,139976,692,71.57,25.0,12.5,16.9,219.754,118.443,56.7,21.7,2.7569,1.2101,339.327972,89.513321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.75,23.0,31.5,1.016,21.5,73.296589
