location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
KI,2020-01-01,ChIJA4cCwpF8ZGURB8NSAQR9MoQ,Q710,country/KIR,KI,Kiribati,KI,KIR,0,,,,,,,,,,,119446,58744,60702,53117,64489,147.464,0.612,29463,23632,20524,16604,11173,9988,5141,2330,591,194647201,1655,0.479,571178,1.466667,173.033333,810,985,3,68.116,47.0,22.5,41.2,235.02,153.038,140.2,28.4,1.9,3.8342,171.41748,0.192364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30.138889,26.805556,31.861111,0.0,24.361111,71.335292
KI,2020-01-02,ChIJA4cCwpF8ZGURB8NSAQR9MoQ,Q710,country/KIR,KI,Kiribati,KI,KIR,0,0,0,0,0,,,,,,,119446,58744,60702,53117,64489,147.464,0.612,29463,23632,20524,16604,11173,9988,5141,2330,591,194647201,1655,0.479,571178,1.466667,173.033333,810,985,3,68.116,47.0,22.5,41.2,235.02,153.038,140.2,28.4,1.9,3.8342,171.41748,0.192364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,29.555556,27.694444,31.805556,3.175,25.277778,77.840741
KI,2020-01-03,ChIJA4cCwpF8ZGURB8NSAQR9MoQ,Q710,country/KIR,KI,Kiribati,KI,KIR,0,0,0,0,0,,,,,,,119446,58744,60702,53117,64489,147.464,0.612,29463,23632,20524,16604,11173,9988,5141,2330,591,194647201,1655,0.479,571178,1.466667,173.033333,810,985,3,68.116,47.0,22.5,41.2,235.02,153.038,140.2,28.4,1.9,3.8342,171.41748,0.192364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.444444,25.092593,31.833333,29.633333,24.666667,84.928919
KI,2020-01-04,ChIJA4cCwpF8ZGURB8NSAQR9MoQ,Q710,country/KIR,KI,Kiribati,KI,KIR,0,0,0,0,0,,,,,,,119446,58744,60702,53117,64489,147.464,0.612,29463,23632,20524,16604,11173,9988,5141,2330,591,194647201,1655,0.479,571178,1.466667,173.033333,810,985,3,68.116,47.0,22.5,41.2,235.02,153.038,140.2,28.4,1.9,3.8342,171.41748,0.192364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,29.592593,26.962963,32.12963,0.0,24.888889,75.91165
KI,2020-01-05,ChIJA4cCwpF8ZGURB8NSAQR9MoQ,Q710,country/KIR,KI,Kiribati,KI,KIR,0,0,0,0,0,,,,,,,119446,58744,60702,53117,64489,147.464,0.612,29463,23632,20524,16604,11173,9988,5141,2330,591,194647201,1655,0.479,571178,1.466667,173.033333,810,985,3,68.116,47.0,22.5,41.2,235.02,153.038,140.2,28.4,1.9,3.8342,171.41748,0.192364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,29.407407,25.740741,32.5,0.0,25.388889,79.035994
KI,2020-01-06,ChIJA4cCwpF8ZGURB8NSAQR9MoQ,Q710,country/KIR,KI,Kiribati,KI,KIR,0,0,0,0,0,,,,,,,119446,58744,60702,53117,64489,147.464,0.612,29463,23632,20524,16604,11173,9988,5141,2330,591,194647201,1655,0.479,571178,1.466667,173.033333,810,985,3,68.116,47.0,22.5,41.2,235.02,153.038,140.2,28.4,1.9,3.8342,171.41748,0.192364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.796296,25.62963,32.092593,6.942667,25.574074,82.817854
KI,2020-01-07,ChIJA4cCwpF8ZGURB8NSAQR9MoQ,Q710,country/KIR,KI,Kiribati,KI,KIR,0,0,0,0,0,,,,,,,119446,58744,60702,53117,64489,147.464,0.612,29463,23632,20524,16604,11173,9988,5141,2330,591,194647201,1655,0.479,571178,1.466667,173.033333,810,985,3,68.116,47.0,22.5,41.2,235.02,153.038,140.2,28.4,1.9,3.8342,171.41748,0.192364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.537037,25.703704,31.962963,10.668,25.037037,81.440658
KI,2020-01-08,ChIJA4cCwpF8ZGURB8NSAQR9MoQ,Q710,country/KIR,KI,Kiribati,KI,KIR,0,0,0,0,0,,,,,,,119446,58744,60702,53117,64489,147.464,0.612,29463,23632,20524,16604,11173,9988,5141,2330,591,194647201,1655,0.479,571178,1.466667,173.033333,810,985,3,68.116,47.0,22.5,41.2,235.02,153.038,140.2,28.4,1.9,3.8342,171.41748,0.192364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30.0,27.444444,32.194444,1.397,25.972222,79.069952
KI,2020-01-09,ChIJA4cCwpF8ZGURB8NSAQR9MoQ,Q710,country/KIR,KI,Kiribati,KI,KIR,0,0,0,0,0,,,,,,,119446,58744,60702,53117,64489,147.464,0.612,29463,23632,20524,16604,11173,9988,5141,2330,591,194647201,1655,0.479,571178,1.466667,173.033333,810,985,3,68.116,47.0,22.5,41.2,235.02,153.038,140.2,28.4,1.9,3.8342,171.41748,0.192364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.925926,26.425926,32.574074,2.455333,25.481481,81.712488
KI,2020-01-10,ChIJA4cCwpF8ZGURB8NSAQR9MoQ,Q710,country/KIR,KI,Kiribati,KI,KIR,0,0,0,0,0,,,,,,,119446,58744,60702,53117,64489,147.464,0.612,29463,23632,20524,16604,11173,9988,5141,2330,591,194647201,1655,0.479,571178,1.466667,173.033333,810,985,3,68.116,47.0,22.5,41.2,235.02,153.038,140.2,28.4,1.9,3.8342,171.41748,0.192364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,29.472222,25.5,32.194444,16.637,25.0,76.943573
