location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
JE,2020-01-01,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.222222,5.833333,8.277778,0.6604,,7.022222,98.660438
JE,2020-01-02,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,9.37963,7.144444,10.688889,0.508,,7.898148,90.55656
JE,2020-01-03,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,9.25,7.148148,10.953704,1.1684,,7.101852,86.4824
JE,2020-01-04,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.027778,5.777778,10.12963,0.762,,5.018519,81.324105
JE,2020-01-05,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.564815,5.981481,8.574074,0.296333,,4.268519,79.721329
JE,2020-01-06,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.055556,3.981481,10.138889,1.016,,5.25,88.335706
JE,2020-01-07,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,10.351852,7.601852,12.601852,1.6256,,9.888889,96.961391
JE,2020-01-08,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,11.398148,10.855556,12.311111,1.524,,11.157407,98.436932
JE,2020-01-09,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,10.666667,7.175926,12.555556,3.8608,,9.555556,92.888114
JE,2020-01-10,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.935185,5.796296,9.425926,7.196667,,4.0,76.228341
JE,2020-01-11,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.666667,5.87963,10.027778,0.0,,5.796296,82.244394
JE,2020-01-12,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,9.833333,7.546296,11.824074,0.6096,,7.416667,84.942923
JE,2020-01-13,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.962963,6.175926,11.407407,0.254,,7.416667,90.125425
JE,2020-01-14,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,11.222222,8.75,12.694444,7.9248,,9.787037,90.901811
JE,2020-01-15,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,9.074074,5.064815,12.166667,4.9276,,6.722222,85.292726
JE,2020-01-16,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,9.444444,5.601852,12.722222,6.0452,,7.648148,88.612784
JE,2020-01-17,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.851852,4.351852,10.759259,4.2672,,4.888889,81.660621
JE,2020-01-18,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,6.657407,4.648148,8.87037,2.201333,,2.62037,75.641068
JE,2020-01-19,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,6.564815,4.944444,8.5,0.0,,2.296296,74.23202
JE,2020-01-20,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,6.657407,4.166667,9.037037,0.0,,2.87037,76.95004
JE,2020-01-21,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,6.12037,2.351852,8.537037,0.0,,2.740741,78.960149
JE,2020-01-22,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,5.342593,1.981481,7.666667,0.0,,2.925926,84.47339
JE,2020-01-23,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,5.435185,3.064815,7.796296,0.0,,3.111111,85.001337
JE,2020-01-24,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,4.666667,2.564815,6.222222,0.0,,3.277778,90.802753
JE,2020-01-25,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,5.675926,2.833333,7.944444,0.0,,5.185185,96.69653
JE,2020-01-26,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.648148,5.87963,10.287037,0.8636,,8.088889,94.186389
JE,2020-01-27,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.231481,6.324074,9.898148,5.1816,,6.842593,90.999379
JE,2020-01-28,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,6.537037,3.601852,8.861111,9.1948,,2.814815,77.204387
JE,2020-01-29,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.351852,6.138889,10.787037,2.074333,,5.37963,81.606938
JE,2020-01-30,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,10.453704,7.361111,12.203704,0.8128,,10.064815,97.465063
JE,2020-01-31,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,10.425926,8.824074,12.212963,2.2352,,10.0,97.218786
JE,2020-02-01,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,10.425926,9.12037,11.916667,5.249333,,9.453704,93.750427
JE,2020-02-02,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,11.324074,9.583333,12.333333,5.9944,,10.833333,96.831026
JE,2020-02-03,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,9.703704,7.481481,11.268519,4.1656,,8.833333,94.364058
JE,2020-02-04,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.296296,6.666667,9.583333,8.297333,,3.62963,72.474828
JE,2020-02-05,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.740741,3.731481,10.435185,0.254,,4.787037,81.587597
JE,2020-02-06,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,5.675926,2.481481,9.018519,0.0,,2.148148,78.165984
JE,2020-02-07,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,6.814815,2.944444,10.435185,0.0,,4.212963,83.510519
JE,2020-02-08,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,9.166667,7.018519,11.361111,2.582333,,6.537037,83.704786
JE,2020-02-09,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,10.981481,6.962963,12.953704,0.3556,,9.138889,88.43179
JE,2020-02-10,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.731481,5.981481,11.888889,7.1628,,5.175926,78.436265
JE,2020-02-11,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,6.601852,4.435185,8.851852,9.2456,,2.481481,75.008324
JE,2020-02-12,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.453704,4.583333,9.509259,2.3876,,4.037037,78.967795
JE,2020-02-13,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,9.009259,6.537037,10.62037,8.6868,,6.564815,84.706428
JE,2020-02-14,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,9.648148,7.518519,11.648148,3.005667,,7.435185,86.109985
JE,2020-02-15,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,11.314815,10.009259,12.138889,0.9144,,10.0,91.637543
JE,2020-02-16,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,10.518519,6.990741,13.490741,8.8392,,8.990741,90.283705
JE,2020-02-17,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.842593,5.768519,9.981481,15.0368,,4.574074,79.858833
JE,2020-02-18,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.324074,5.75,10.740741,3.8608,,5.25,80.99917
JE,2020-02-19,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.722222,6.259259,10.685185,6.2992,,6.203704,84.215291
JE,2020-02-20,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.472222,5.972222,10.768519,1.27,,5.453704,81.327783
JE,2020-02-21,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.166667,5.675926,10.722222,2.582333,,4.685185,78.704131
JE,2020-02-22,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,9.768519,7.25,11.083333,0.0508,,8.37037,91.065014
JE,2020-02-23,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,10.935185,9.731481,11.861111,0.4572,,10.342593,96.247228
JE,2020-02-24,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,10.083333,7.416667,11.314815,2.286,,9.455556,93.746807
JE,2020-02-25,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.324074,4.37963,10.314815,3.9116,,4.018519,79.583131
JE,2020-02-26,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,6.546296,4.083333,8.574074,3.175,,1.444444,69.969468
JE,2020-02-27,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.203704,4.342593,10.453704,8.0264,,3.972222,79.977628
JE,2020-02-28,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.703704,4.027778,11.574074,1.1684,,6.990741,89.041599
JE,2020-02-29,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.712963,5.37963,10.583333,5.4356,,4.064815,77.748181
JE,2020-03-01,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.37037,4.75,9.981481,7.7216,,3.731481,77.751199
JE,2020-03-02,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.12037,4.851852,9.037037,9.398,,3.685185,78.86777
JE,2020-03-03,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,6.87037,4.0,9.361111,1.862667,,3.092593,76.994955
JE,2020-03-04,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.231481,5.611111,11.037037,1.2192,,6.925926,91.555033
JE,2020-03-05,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.787037,3.981481,10.444444,12.446,,6.453704,91.302771
JE,2020-03-06,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,6.87963,4.518519,9.305556,13.462,,3.731481,80.414392
JE,2020-03-07,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,9.212963,6.083333,12.009259,1.8796,,6.898148,85.511406
JE,2020-03-08,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,9.5,6.648148,11.509259,1.4224,,7.101852,84.999367
JE,2020-03-09,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,0,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.5,6.703704,10.12037,1.8796,,5.972222,84.151187
JE,2020-03-10,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,2,0,2,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,11.259259,8.462963,12.361111,5.7912,,10.722222,96.574894
JE,2020-03-11,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,2,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,11.314815,10.064815,12.37037,2.8448,,10.555556,95.206509
JE,2020-03-12,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,2,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.435185,6.175926,11.083333,6.7056,,3.87037,73.026122
JE,2020-03-13,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,2,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.166667,5.87963,10.5,0.508,,4.287037,76.552593
JE,2020-03-14,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,2,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,9.287037,7.712963,10.851852,0.889,,7.064815,86.0551
JE,2020-03-15,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,2,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.981481,6.564815,11.805556,1.4224,,7.351852,89.56216
JE,2020-03-16,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,3,0,5,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.25,4.768519,10.601852,1.27,,4.601852,77.871105
JE,2020-03-17,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,5,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.435185,4.259259,12.666667,0.0,,4.314815,75.696678
JE,2020-03-18,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,5,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,9.148148,5.518519,12.722222,0.0,,6.398148,83.293296
JE,2020-03-19,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,7,0,12,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.925926,4.537037,12.601852,0.084667,,7.425926,90.357157
JE,2020-03-20,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,12,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.333333,7.268519,9.694444,5.08,,6.787037,90.007174
JE,2020-03-21,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,3,0,15,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.37963,6.6,8.655556,2.032,,4.768519,83.525213
JE,2020-03-22,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,1,0,16,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.138889,6.083333,8.435185,0.0,,3.12963,75.669476
JE,2020-03-23,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,0,16,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,8.037037,5.296296,10.981481,0.804333,,2.574074,68.439019
JE,2020-03-24,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,2,0,18,0,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,9.472222,5.490741,14.296296,0.0,,3.055556,64.379043
JE,2020-03-25,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,0,1,18,1,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.555556,3.009259,10.851852,0.0,,0.462963,60.922802
JE,2020-03-26,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,JE,JEY,0,16,0,34,1,,,,,,,105500,53600,55205,12508,11599,17285,16050,10505,15721,12008,7982,5147,367988,49.19,-2.11,118,7.787037,5.111111,10.333333,0.0,,1.777778,65.793131
