location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
LK,2020-01-01,ChIJnR5a9jxZ4joRjNPiALSkPeE,Q854,country/LKA,LK,Sri Lanka,LK,LKA,0,0,0,,0,0,,,,,,,,21413250,10267351,11145899,17750912,4052088,606158,341.465,0.77,3350035,3386220,2901857,2820021,2881105,2554818,2013196,1146337,359661,84008783756,3853,0.584,536807,7.0,81.0,65610,61106,4016,76.812,13.0,10.7,6.4,151.16,56.065,79.8,17.4,2.1803,1.0041,159.484741,79.356094,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.394444,21.361111,29.672222,2.4638,21.844444,80.851216
LK,2020-01-02,ChIJnR5a9jxZ4joRjNPiALSkPeE,Q854,country/LKA,LK,Sri Lanka,LK,LKA,0,0,0,,0,0,,,,,,,,21413250,10267351,11145899,17750912,4052088,606158,341.465,0.77,3350035,3386220,2901857,2820021,2881105,2554818,2013196,1146337,359661,84008783756,3853,0.584,536807,7.0,81.0,65610,61106,4016,76.812,13.0,10.7,6.4,151.16,56.065,79.8,17.4,2.1803,1.0041,159.484741,79.356094,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.144444,21.616667,29.638889,3.7338,22.305556,84.485784
LK,2020-01-03,ChIJnR5a9jxZ4joRjNPiALSkPeE,Q854,country/LKA,LK,Sri Lanka,LK,LKA,0,0,0,,0,0,,,,,,,,21413250,10267351,11145899,17750912,4052088,606158,341.465,0.77,3350035,3386220,2901857,2820021,2881105,2554818,2013196,1146337,359661,84008783756,3853,0.584,536807,7.0,81.0,65610,61106,4016,76.812,13.0,10.7,6.4,151.16,56.065,79.8,17.4,2.1803,1.0041,159.484741,79.356094,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.955556,21.577778,29.966667,3.7846,21.983333,79.160951
LK,2020-01-04,ChIJnR5a9jxZ4joRjNPiALSkPeE,Q854,country/LKA,LK,Sri Lanka,LK,LKA,0,0,0,,0,0,,,,,,,,21413250,10267351,11145899,17750912,4052088,606158,341.465,0.77,3350035,3386220,2901857,2820021,2881105,2554818,2013196,1146337,359661,84008783756,3853,0.584,536807,7.0,81.0,65610,61106,4016,76.812,13.0,10.7,6.4,151.16,56.065,79.8,17.4,2.1803,1.0041,159.484741,79.356094,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.9,20.816667,29.95,1.905,21.694444,78.175617
LK,2020-01-05,ChIJnR5a9jxZ4joRjNPiALSkPeE,Q854,country/LKA,LK,Sri Lanka,LK,LKA,0,0,0,,0,0,,,,,,,,21413250,10267351,11145899,17750912,4052088,606158,341.465,0.77,3350035,3386220,2901857,2820021,2881105,2554818,2013196,1146337,359661,84008783756,3853,0.584,536807,7.0,81.0,65610,61106,4016,76.812,13.0,10.7,6.4,151.16,56.065,79.8,17.4,2.1803,1.0041,159.484741,79.356094,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.883333,20.844444,30.038889,9.0424,21.316667,76.243623
LK,2020-01-06,ChIJnR5a9jxZ4joRjNPiALSkPeE,Q854,country/LKA,LK,Sri Lanka,LK,LKA,0,0,0,,0,0,,,,,,,,21413250,10267351,11145899,17750912,4052088,606158,341.465,0.77,3350035,3386220,2901857,2820021,2881105,2554818,2013196,1146337,359661,84008783756,3853,0.584,536807,7.0,81.0,65610,61106,4016,76.812,13.0,10.7,6.4,151.16,56.065,79.8,17.4,2.1803,1.0041,159.484741,79.356094,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.594444,20.816667,29.744444,0.254,21.277778,77.401917
LK,2020-01-07,ChIJnR5a9jxZ4joRjNPiALSkPeE,Q854,country/LKA,LK,Sri Lanka,LK,LKA,0,0,0,,0,0,,,,,,,,21413250,10267351,11145899,17750912,4052088,606158,341.465,0.77,3350035,3386220,2901857,2820021,2881105,2554818,2013196,1146337,359661,84008783756,3853,0.584,536807,7.0,81.0,65610,61106,4016,76.812,13.0,10.7,6.4,151.16,56.065,79.8,17.4,2.1803,1.0041,159.484741,79.356094,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.411111,21.111111,29.722222,4.3688,21.161111,77.651514
LK,2020-01-08,ChIJnR5a9jxZ4joRjNPiALSkPeE,Q854,country/LKA,LK,Sri Lanka,LK,LKA,0,0,0,,0,0,,,,,,,,21413250,10267351,11145899,17750912,4052088,606158,341.465,0.77,3350035,3386220,2901857,2820021,2881105,2554818,2013196,1146337,359661,84008783756,3853,0.584,536807,7.0,81.0,65610,61106,4016,76.812,13.0,10.7,6.4,151.16,56.065,79.8,17.4,2.1803,1.0041,159.484741,79.356094,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.038889,21.183333,29.322222,2.413,20.744444,77.760044
LK,2020-01-09,ChIJnR5a9jxZ4joRjNPiALSkPeE,Q854,country/LKA,LK,Sri Lanka,LK,LKA,0,0,0,,0,0,,,,,,,,21413250,10267351,11145899,17750912,4052088,606158,341.465,0.77,3350035,3386220,2901857,2820021,2881105,2554818,2013196,1146337,359661,84008783756,3853,0.584,536807,7.0,81.0,65610,61106,4016,76.812,13.0,10.7,6.4,151.16,56.065,79.8,17.4,2.1803,1.0041,159.484741,79.356094,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.494444,19.022222,29.65,0.0,19.688889,74.986654
LK,2020-01-10,ChIJnR5a9jxZ4joRjNPiALSkPeE,Q854,country/LKA,LK,Sri Lanka,LK,LKA,0,0,0,,0,0,,,,,,,,21413250,10267351,11145899,17750912,4052088,606158,341.465,0.77,3350035,3386220,2901857,2820021,2881105,2554818,2013196,1146337,359661,84008783756,3853,0.584,536807,7.0,81.0,65610,61106,4016,76.812,13.0,10.7,6.4,151.16,56.065,79.8,17.4,2.1803,1.0041,159.484741,79.356094,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.511111,18.188889,29.383333,0.0,18.644444,70.239575
