location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
BT,2020-01-01,ChIJz5XFc6WSWzcR2rw2KGWsDLs,Q917,country/BTN,BT,Bhutan,BT,BTN,0,0,0,,0,0,,,,,,,,771612,410087,361525,445554,317538,20.243,0.612,125828,135993,153314,138681,89604,59014,36908,22234,10036,2446674102,3243,184629,27.45,90.5,38393,71.46,10.3,24.8,197.28,194.721,124.5,23.3,1.8518,0.4242,96.799301,12.880568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.777778,3.984127,16.119048,0.0,,1.198413,50.640063
BT,2020-01-02,ChIJz5XFc6WSWzcR2rw2KGWsDLs,Q917,country/BTN,BT,Bhutan,BT,BTN,0,0,0,,0,0,,,,,,,,771612,410087,361525,445554,317538,20.243,0.612,125828,135993,153314,138681,89604,59014,36908,22234,10036,2446674102,3243,184629,27.45,90.5,38393,71.46,10.3,24.8,197.28,194.721,124.5,23.3,1.8518,0.4242,96.799301,12.880568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.81746,6.214286,17.277778,0.290286,,4.309524,57.843345
BT,2020-01-03,ChIJz5XFc6WSWzcR2rw2KGWsDLs,Q917,country/BTN,BT,Bhutan,BT,BTN,0,0,0,,0,0,,,,,,,,771612,410087,361525,445554,317538,20.243,0.612,125828,135993,153314,138681,89604,59014,36908,22234,10036,2446674102,3243,184629,27.45,90.5,38393,71.46,10.3,24.8,197.28,194.721,124.5,23.3,1.8518,0.4242,96.799301,12.880568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.984127,6.31746,14.626984,0.653143,,6.65873,75.861182
BT,2020-01-04,ChIJz5XFc6WSWzcR2rw2KGWsDLs,Q917,country/BTN,BT,Bhutan,BT,BTN,0,0,0,,0,0,,,,,,,,771612,410087,361525,445554,317538,20.243,0.612,125828,135993,153314,138681,89604,59014,36908,22234,10036,2446674102,3243,184629,27.45,90.5,38393,71.46,10.3,24.8,197.28,194.721,124.5,23.3,1.8518,0.4242,96.799301,12.880568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.134921,6.214286,14.952381,6.223,10.16,7.642857,79.223429
BT,2020-01-05,ChIJz5XFc6WSWzcR2rw2KGWsDLs,Q917,country/BTN,BT,Bhutan,BT,BTN,0,0,0,,0,0,,,,,,,,771612,410087,361525,445554,317538,20.243,0.612,125828,135993,153314,138681,89604,59014,36908,22234,10036,2446674102,3243,184629,27.45,90.5,38393,71.46,10.3,24.8,197.28,194.721,124.5,23.3,1.8518,0.4242,96.799301,12.880568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.361111,3.111111,12.416667,0.508,10.16,2.796296,69.529468
BT,2020-01-06,ChIJz5XFc6WSWzcR2rw2KGWsDLs,Q917,country/BTN,BT,Bhutan,BT,BTN,0,0,0,,0,0,,,,,,,,771612,410087,361525,445554,317538,20.243,0.612,125828,135993,153314,138681,89604,59014,36908,22234,10036,2446674102,3243,184629,27.45,90.5,38393,71.46,10.3,24.8,197.28,194.721,124.5,23.3,1.8518,0.4242,96.799301,12.880568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.206349,2.753968,15.293651,1.124857,,2.194444,63.497419
BT,2020-01-07,ChIJz5XFc6WSWzcR2rw2KGWsDLs,Q917,country/BTN,BT,Bhutan,BT,BTN,0,0,0,,0,0,,,,,,,,771612,410087,361525,445554,317538,20.243,0.612,125828,135993,153314,138681,89604,59014,36908,22234,10036,2446674102,3243,184629,27.45,90.5,38393,71.46,10.3,24.8,197.28,194.721,124.5,23.3,1.8518,0.4242,96.799301,12.880568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.960317,2.928571,16.865079,0.036286,,4.857143,66.7564
BT,2020-01-08,ChIJz5XFc6WSWzcR2rw2KGWsDLs,Q917,country/BTN,BT,Bhutan,BT,BTN,0,0,0,,0,0,,,,,,,,771612,410087,361525,445554,317538,20.243,0.612,125828,135993,153314,138681,89604,59014,36908,22234,10036,2446674102,3243,184629,27.45,90.5,38393,71.46,10.3,24.8,197.28,194.721,124.5,23.3,1.8518,0.4242,96.799301,12.880568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.801587,3.031746,16.619048,0.108857,,5.992063,67.921393
BT,2020-01-09,ChIJz5XFc6WSWzcR2rw2KGWsDLs,Q917,country/BTN,BT,Bhutan,BT,BTN,0,0,0,,0,0,,,,,,,,771612,410087,361525,445554,317538,20.243,0.612,125828,135993,153314,138681,89604,59014,36908,22234,10036,2446674102,3243,184629,27.45,90.5,38393,71.46,10.3,24.8,197.28,194.721,124.5,23.3,1.8518,0.4242,96.799301,12.880568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.18254,5.698413,15.404762,0.635,,6.436508,73.299724
BT,2020-01-10,ChIJz5XFc6WSWzcR2rw2KGWsDLs,Q917,country/BTN,BT,Bhutan,BT,BTN,0,0,0,,0,0,,,,,,,,771612,410087,361525,445554,317538,20.243,0.612,125828,135993,153314,138681,89604,59014,36908,22234,10036,2446674102,3243,184629,27.45,90.5,38393,71.46,10.3,24.8,197.28,194.721,124.5,23.3,1.8518,0.4242,96.799301,12.880568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.904762,3.793651,16.150794,0.0,,4.920635,68.754149
