location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
MG,2020-01-01,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,0,0,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.925926,19.611111,31.62963,35.306,19.25,79.943439
MG,2020-01-02,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,1,1,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.481481,20.962963,31.296296,23.283333,19.111111,83.709603
MG,2020-01-03,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.037037,20.481481,29.592593,20.658667,19.5,89.609637
MG,2020-01-04,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.037037,19.611111,29.796296,31.242,18.694444,83.644699
MG,2020-01-05,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.5,19.703704,29.574074,0.931333,18.166667,76.748828
MG,2020-01-06,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.074074,19.62963,30.0,0.0,18.111111,74.383993
MG,2020-01-07,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.37037,19.666667,31.12963,23.706667,18.666667,81.40147
MG,2020-01-08,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.111111,19.333333,29.37037,44.026667,18.805556,88.288034
MG,2020-01-09,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.388889,19.759259,29.333333,0.169333,18.138889,77.75072
MG,2020-01-10,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.944444,19.407407,29.740741,0.254,17.75,74.579441
