location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
CN,2020-01-01,ChIJwULG5WSOUDERbzafNHyqHZU,Q148,country/CHN,CN,China,CN,CHN,0,0,0,,0,0,,,,,,,,,1439323774,738247340,701076434,554781038,842933962,26317104,398976116,153.312,0.752,170667620,166604610,185147170,228830425,216111763,222185873,151663905,71494305,26618103,14342902842915,10261,0.673,270056,35.844722,103.451944,9562910,8868577,380679,76.704,25.6,9.2,7.4,93.777,60.272,112.7,17.0,2.6621,1.9798,440.825623,158.919449,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,-4.316667,-13.3,5.088889,0.0,,-14.933333,47.536541
CN,2020-01-02,ChIJwULG5WSOUDERbzafNHyqHZU,Q148,country/CHN,CN,China,CN,CHN,0,1,0,,1,0,,,,,,,,,1439323774,738247340,701076434,554781038,842933962,26317104,398976116,153.312,0.752,170667620,166604610,185147170,228830425,216111763,222185873,151663905,71494305,26618103,14342902842915,10261,0.673,270056,35.844722,103.451944,9562910,8868577,380679,76.704,25.6,9.2,7.4,93.777,60.272,112.7,17.0,2.6621,1.9798,440.825623,158.919449,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,-4.233333,-12.738889,4.577778,0.0,,-14.277778,49.348051
CN,2020-01-03,ChIJwULG5WSOUDERbzafNHyqHZU,Q148,country/CHN,CN,China,CN,CHN,0,0,0,,1,0,,,,,,,,,1439323774,738247340,701076434,554781038,842933962,26317104,398976116,153.312,0.752,170667620,166604610,185147170,228830425,216111763,222185873,151663905,71494305,26618103,14342902842915,10261,0.673,270056,35.844722,103.451944,9562910,8868577,380679,76.704,25.6,9.2,7.4,93.777,60.272,112.7,17.0,2.6621,1.9798,440.825623,158.919449,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,-4.148148,-13.191358,5.320988,0.056444,,-14.395062,46.062754
CN,2020-01-04,ChIJwULG5WSOUDERbzafNHyqHZU,Q148,country/CHN,CN,China,CN,CHN,0,3,0,,4,0,,,,,,,,,1439323774,738247340,701076434,554781038,842933962,26317104,398976116,153.312,0.752,170667620,166604610,185147170,228830425,216111763,222185873,151663905,71494305,26618103,14342902842915,10261,0.673,270056,35.844722,103.451944,9562910,8868577,380679,76.704,25.6,9.2,7.4,93.777,60.272,112.7,17.0,2.6621,1.9798,440.825623,158.919449,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,-3.351852,-9.962963,4.796296,0.874889,25.4,-10.833333,58.939527
CN,2020-01-05,ChIJwULG5WSOUDERbzafNHyqHZU,Q148,country/CHN,CN,China,CN,CHN,0,0,0,,4,0,,,,,,,,,1439323774,738247340,701076434,554781038,842933962,26317104,398976116,153.312,0.752,170667620,166604610,185147170,228830425,216111763,222185873,151663905,71494305,26618103,14342902842915,10261,0.673,270056,35.844722,103.451944,9562910,8868577,380679,76.704,25.6,9.2,7.4,93.777,60.272,112.7,17.0,2.6621,1.9798,440.825623,158.919449,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,2.78,-4.622222,-9.711111,3.683333,0.762,10.16,-11.183333,61.051798
CN,2020-01-06,ChIJwULG5WSOUDERbzafNHyqHZU,Q148,country/CHN,CN,China,CN,CHN,0,0,0,,4,0,,,,,,,,,1439323774,738247340,701076434,554781038,842933962,26317104,398976116,153.312,0.752,170667620,166604610,185147170,228830425,216111763,222185873,151663905,71494305,26618103,14342902842915,10261,0.673,270056,35.844722,103.451944,9562910,8868577,380679,76.704,25.6,9.2,7.4,93.777,60.272,112.7,17.0,2.6621,1.9798,440.825623,158.919449,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,2.78,-8.95679,-15.592593,-1.055556,1.61925,40.005,-12.12963,77.980011
CN,2020-01-07,ChIJwULG5WSOUDERbzafNHyqHZU,Q148,country/CHN,CN,China,CN,CHN,0,0,0,,4,0,,,,,,,,,1439323774,738247340,701076434,554781038,842933962,26317104,398976116,153.312,0.752,170667620,166604610,185147170,228830425,216111763,222185873,151663905,71494305,26618103,14342902842915,10261,0.673,270056,35.844722,103.451944,9562910,8868577,380679,76.704,25.6,9.2,7.4,93.777,60.272,112.7,17.0,2.6621,1.9798,440.825623,158.919449,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,2.78,-7.822222,-15.405556,0.622222,15.550444,29.972,-13.527778,64.922608
CN,2020-01-08,ChIJwULG5WSOUDERbzafNHyqHZU,Q148,country/CHN,CN,China,CN,CHN,0,0,0,,4,0,,,,,,,,,1439323774,738247340,701076434,554781038,842933962,26317104,398976116,153.312,0.752,170667620,166604610,185147170,228830425,216111763,222185873,151663905,71494305,26618103,14342902842915,10261,0.673,270056,35.844722,103.451944,9562910,8868577,380679,76.704,25.6,9.2,7.4,93.777,60.272,112.7,17.0,2.6621,1.9798,440.825623,158.919449,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,2.78,-7.388889,-16.660494,0.790123,15.01775,40.64,-13.037037,64.734569
CN,2020-01-09,ChIJwULG5WSOUDERbzafNHyqHZU,Q148,country/CHN,CN,China,CN,CHN,0,0,0,,4,0,,,,,,,,,1439323774,738247340,701076434,554781038,842933962,26317104,398976116,153.312,0.752,170667620,166604610,185147170,228830425,216111763,222185873,151663905,71494305,26618103,14342902842915,10261,0.673,270056,35.844722,103.451944,9562910,8868577,380679,76.704,25.6,9.2,7.4,93.777,60.272,112.7,17.0,2.6621,1.9798,440.825623,158.919449,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,2.78,-7.611111,-14.641975,0.740741,4.572,50.8,-10.796296,79.208243
CN,2020-01-10,ChIJwULG5WSOUDERbzafNHyqHZU,Q148,country/CHN,CN,China,CN,CHN,0,41,1,,45,1,,,,,,,,,1439323774,738247340,701076434,554781038,842933962,26317104,398976116,153.312,0.752,170667620,166604610,185147170,228830425,216111763,222185873,151663905,71494305,26618103,14342902842915,10261,0.673,270056,35.844722,103.451944,9562910,8868577,380679,76.704,25.6,9.2,7.4,93.777,60.272,112.7,17.0,2.6621,1.9798,440.825623,158.919449,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,2.78,-9.969136,-16.820988,-3.425926,0.762,30.48,-12.740741,80.495358
