location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
TG,2020-01-01,ChIJGVQYE8HhIxARYJPRGjBbrvo,Q945,country/TGO,TG,Togo,TG,TGO,0,0,0,,0,0,,,,,,,,8278736,4119404,4159332,4667728,3414638,1785310,1785310,152.211,0.503,2340181,1914996,1375261,1064557,744517,450714,255937,111493,21081,5459979416,675,0.413,192782,8.25,1.183333,56790,55426,1663,60.76,7.4,2.4,47.4,277.736,244.396,249.6,23.6,0.4102,0.0774,38.048714,22.228106,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.520833,19.527778,33.763889,0.0,6.277778,29.273856
TG,2020-01-02,ChIJGVQYE8HhIxARYJPRGjBbrvo,Q945,country/TGO,TG,Togo,TG,TGO,0,1,1,,1,1,,,,,,,,8278736,4119404,4159332,4667728,3414638,1785310,1785310,152.211,0.503,2340181,1914996,1375261,1064557,744517,450714,255937,111493,21081,5459979416,675,0.413,192782,8.25,1.183333,56790,55426,1663,60.76,7.4,2.4,47.4,277.736,244.396,249.6,23.6,0.4102,0.0774,38.048714,22.228106,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.659722,18.840278,31.5,0.0,4.277778,27.904072
TG,2020-01-03,ChIJGVQYE8HhIxARYJPRGjBbrvo,Q945,country/TGO,TG,Togo,TG,TGO,0,0,0,,1,1,,,,,,,,8278736,4119404,4159332,4667728,3414638,1785310,1785310,152.211,0.503,2340181,1914996,1375261,1064557,744517,450714,255937,111493,21081,5459979416,675,0.413,192782,8.25,1.183333,56790,55426,1663,60.76,7.4,2.4,47.4,277.736,244.396,249.6,23.6,0.4102,0.0774,38.048714,22.228106,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.215278,16.520833,30.3125,0.0,2.902778,27.047241
TG,2020-01-04,ChIJGVQYE8HhIxARYJPRGjBbrvo,Q945,country/TGO,TG,Togo,TG,TGO,0,0,0,,1,1,,,,,,,,8278736,4119404,4159332,4667728,3414638,1785310,1785310,152.211,0.503,2340181,1914996,1375261,1064557,744517,450714,255937,111493,21081,5459979416,675,0.413,192782,8.25,1.183333,56790,55426,1663,60.76,7.4,2.4,47.4,277.736,244.396,249.6,23.6,0.4102,0.0774,38.048714,22.228106,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.271605,17.58642,31.265432,0.0,4.944444,29.383742
TG,2020-01-05,ChIJGVQYE8HhIxARYJPRGjBbrvo,Q945,country/TGO,TG,Togo,TG,TGO,0,0,0,,1,1,,,,,,,,8278736,4119404,4159332,4667728,3414638,1785310,1785310,152.211,0.503,2340181,1914996,1375261,1064557,744517,450714,255937,111493,21081,5459979416,675,0.413,192782,8.25,1.183333,56790,55426,1663,60.76,7.4,2.4,47.4,277.736,244.396,249.6,23.6,0.4102,0.0774,38.048714,22.228106,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.17284,18.660494,33.04321,0.0,8.203704,35.304508
TG,2020-01-06,ChIJGVQYE8HhIxARYJPRGjBbrvo,Q945,country/TGO,TG,Togo,TG,TGO,0,0,0,,1,1,,,,,,,,8278736,4119404,4159332,4667728,3414638,1785310,1785310,152.211,0.503,2340181,1914996,1375261,1064557,744517,450714,255937,111493,21081,5459979416,675,0.413,192782,8.25,1.183333,56790,55426,1663,60.76,7.4,2.4,47.4,277.736,244.396,249.6,23.6,0.4102,0.0774,38.048714,22.228106,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.567901,19.302469,32.802469,0.0,11.345679,43.152107
TG,2020-01-07,ChIJGVQYE8HhIxARYJPRGjBbrvo,Q945,country/TGO,TG,Togo,TG,TGO,0,0,0,,1,1,,,,,,,,8278736,4119404,4159332,4667728,3414638,1785310,1785310,152.211,0.503,2340181,1914996,1375261,1064557,744517,450714,255937,111493,21081,5459979416,675,0.413,192782,8.25,1.183333,56790,55426,1663,60.76,7.4,2.4,47.4,277.736,244.396,249.6,23.6,0.4102,0.0774,38.048714,22.228106,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.319444,20.743056,34.375,0.0,11.618056,39.060406
TG,2020-01-08,ChIJGVQYE8HhIxARYJPRGjBbrvo,Q945,country/TGO,TG,Togo,TG,TGO,0,0,0,,1,1,,,,,,,,8278736,4119404,4159332,4667728,3414638,1785310,1785310,152.211,0.503,2340181,1914996,1375261,1064557,744517,450714,255937,111493,21081,5459979416,675,0.413,192782,8.25,1.183333,56790,55426,1663,60.76,7.4,2.4,47.4,277.736,244.396,249.6,23.6,0.4102,0.0774,38.048714,22.228106,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.451389,21.854167,35.5625,0.0,13.305556,41.153482
TG,2020-01-09,ChIJGVQYE8HhIxARYJPRGjBbrvo,Q945,country/TGO,TG,Togo,TG,TGO,0,0,0,,1,1,,,,,,,,8278736,4119404,4159332,4667728,3414638,1785310,1785310,152.211,0.503,2340181,1914996,1375261,1064557,744517,450714,255937,111493,21081,5459979416,675,0.413,192782,8.25,1.183333,56790,55426,1663,60.76,7.4,2.4,47.4,277.736,244.396,249.6,23.6,0.4102,0.0774,38.048714,22.228106,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,29.493827,23.376543,36.246914,0.0,13.604938,40.133095
TG,2020-01-10,ChIJGVQYE8HhIxARYJPRGjBbrvo,Q945,country/TGO,TG,Togo,TG,TGO,0,0,0,,1,1,,,,,,,,8278736,4119404,4159332,4667728,3414638,1785310,1785310,152.211,0.503,2340181,1914996,1375261,1064557,744517,450714,255937,111493,21081,5459979416,675,0.413,192782,8.25,1.183333,56790,55426,1663,60.76,7.4,2.4,47.4,277.736,244.396,249.6,23.6,0.4102,0.0774,38.048714,22.228106,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.979167,23.215278,36.138889,0.0,15.569444,47.780604
