location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
SV,2020-01-01,ChIJVwZkWaYnY48RMkiFmOsWmm8,Q792,country/SLV,SV,El Salvador,SV,SLV,0,0,0,,0,0,,,,,,,,6486201,3036424,3449777,1758851,4694702,1105662,1105662,313.041,0.7,1146823,1165823,1215814,882442,725142,568071,406296,248391,127399,27022640000,4187,0.501,1520612,13.668889,-88.866111,21040,16349,3598,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14.0,1.8344,1.5662,282.491028,82.477356,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.858025,20.024691,30.845679,0.0,17.117284,56.927421
SV,2020-01-02,ChIJVwZkWaYnY48RMkiFmOsWmm8,Q792,country/SLV,SV,El Salvador,SV,SLV,0,0,0,,0,0,,,,,,,,6486201,3036424,3449777,1758851,4694702,1105662,1105662,313.041,0.7,1146823,1165823,1215814,882442,725142,568071,406296,248391,127399,27022640000,4187,0.501,1520612,13.668889,-88.866111,21040,16349,3598,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14.0,1.8344,1.5662,282.491028,82.477356,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.91358,19.067901,30.895062,0.0,18.203704,63.223997
SV,2020-01-03,ChIJVwZkWaYnY48RMkiFmOsWmm8,Q792,country/SLV,SV,El Salvador,SV,SLV,0,0,0,,0,0,,,,,,,,6486201,3036424,3449777,1758851,4694702,1105662,1105662,313.041,0.7,1146823,1165823,1215814,882442,725142,568071,406296,248391,127399,27022640000,4187,0.501,1520612,13.668889,-88.866111,21040,16349,3598,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14.0,1.8344,1.5662,282.491028,82.477356,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.740741,17.62963,31.197531,0.0,17.95679,62.719612
SV,2020-01-04,ChIJVwZkWaYnY48RMkiFmOsWmm8,Q792,country/SLV,SV,El Salvador,SV,SLV,0,0,0,,0,0,,,,,,,,6486201,3036424,3449777,1758851,4694702,1105662,1105662,313.041,0.7,1146823,1165823,1215814,882442,725142,568071,406296,248391,127399,27022640000,4187,0.501,1520612,13.668889,-88.866111,21040,16349,3598,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14.0,1.8344,1.5662,282.491028,82.477356,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.347222,18.847222,30.854167,0.0,18.763889,64.209342
SV,2020-01-05,ChIJVwZkWaYnY48RMkiFmOsWmm8,Q792,country/SLV,SV,El Salvador,SV,SLV,0,0,0,,0,0,,,,,,,,6486201,3036424,3449777,1758851,4694702,1105662,1105662,313.041,0.7,1146823,1165823,1215814,882442,725142,568071,406296,248391,127399,27022640000,4187,0.501,1520612,13.668889,-88.866111,21040,16349,3598,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14.0,1.8344,1.5662,282.491028,82.477356,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.548611,20.125,30.284722,0.03175,15.465278,56.650107
SV,2020-01-06,ChIJVwZkWaYnY48RMkiFmOsWmm8,Q792,country/SLV,SV,El Salvador,SV,SLV,0,0,0,,0,0,,,,,,,,6486201,3036424,3449777,1758851,4694702,1105662,1105662,313.041,0.7,1146823,1165823,1215814,882442,725142,568071,406296,248391,127399,27022640000,4187,0.501,1520612,13.668889,-88.866111,21040,16349,3598,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14.0,1.8344,1.5662,282.491028,82.477356,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.364198,19.209877,28.703704,0.0,15.401235,59.698548
SV,2020-01-07,ChIJVwZkWaYnY48RMkiFmOsWmm8,Q792,country/SLV,SV,El Salvador,SV,SLV,0,0,0,,0,0,,,,,,,,6486201,3036424,3449777,1758851,4694702,1105662,1105662,313.041,0.7,1146823,1165823,1215814,882442,725142,568071,406296,248391,127399,27022640000,4187,0.501,1520612,13.668889,-88.866111,21040,16349,3598,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14.0,1.8344,1.5662,282.491028,82.477356,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.154321,19.555556,29.17284,0.0635,16.777778,62.53156
SV,2020-01-08,ChIJVwZkWaYnY48RMkiFmOsWmm8,Q792,country/SLV,SV,El Salvador,SV,SLV,0,0,0,,0,0,,,,,,,,6486201,3036424,3449777,1758851,4694702,1105662,1105662,313.041,0.7,1146823,1165823,1215814,882442,725142,568071,406296,248391,127399,27022640000,4187,0.501,1520612,13.668889,-88.866111,21040,16349,3598,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14.0,1.8344,1.5662,282.491028,82.477356,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.598765,20.419753,29.179012,0.0635,15.87037,58.693401
SV,2020-01-09,ChIJVwZkWaYnY48RMkiFmOsWmm8,Q792,country/SLV,SV,El Salvador,SV,SLV,0,0,0,,0,0,,,,,,,,6486201,3036424,3449777,1758851,4694702,1105662,1105662,313.041,0.7,1146823,1165823,1215814,882442,725142,568071,406296,248391,127399,27022640000,4187,0.501,1520612,13.668889,-88.866111,21040,16349,3598,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14.0,1.8344,1.5662,282.491028,82.477356,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.888889,19.802469,30.54321,0.0,16.450617,57.654178
SV,2020-01-10,ChIJVwZkWaYnY48RMkiFmOsWmm8,Q792,country/SLV,SV,El Salvador,SV,SLV,0,0,0,,0,0,,,,,,,,6486201,3036424,3449777,1758851,4694702,1105662,1105662,313.041,0.7,1146823,1165823,1215814,882442,725142,568071,406296,248391,127399,27022640000,4187,0.501,1520612,13.668889,-88.866111,21040,16349,3598,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14.0,1.8344,1.5662,282.491028,82.477356,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.975309,20.512346,31.802469,0.0,17.092593,55.861903
