location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
CM,2020-01-01,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-02,Q1009,Cameroon,2.0,6.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-03,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-04,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-05,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-06,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-07,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-08,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-09,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-10,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-11,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-12,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-13,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-14,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-15,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-16,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-17,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-18,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-19,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-20,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-21,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-22,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-23,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-24,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-25,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-26,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-27,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-28,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-29,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-30,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-01-31,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-01,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-02,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-03,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-04,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-05,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-06,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-07,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-08,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-09,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-10,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-11,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-12,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-13,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-14,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-15,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-16,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-17,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-18,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-19,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-20,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-21,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-22,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-23,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM,2020-02-24,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-02-25,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-02-26,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-02-27,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-02-28,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-02-29,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-03-01,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-03-02,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-03-03,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-03-04,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-03-05,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-03-06,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-03-07,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-03-08,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-03-09,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-03-10,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-03-11,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CM,2020-03-12,Q1009,Cameroon,0.0,0.0,26545864,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
