location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
GN,2020-01-01,Q1006,Guinea,0.0,0.0,13132792,10.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN,2020-01-02,Q1006,Guinea,1.0,2.0,13132792,10.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN,2020-01-03,Q1006,Guinea,0.0,0.0,13132792,10.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN,2020-01-04,Q1006,Guinea,0.0,0.0,13132792,10.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN,2020-01-05,Q1006,Guinea,0.0,0.0,13132792,10.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN,2020-01-06,Q1006,Guinea,0.0,0.0,13132792,10.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN,2020-01-07,Q1006,Guinea,0.0,0.0,13132792,10.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN,2020-01-08,Q1006,Guinea,0.0,0.0,13132792,10.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN,2020-01-09,Q1006,Guinea,0.0,0.0,13132792,10.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN,2020-01-10,Q1006,Guinea,0.0,0.0,13132792,10.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN,2020-01-11,Q1006,Guinea,0.0,0.0,13132792,10.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN,2020-01-12,Q1006,Guinea,0.0,0.0,13132792,10.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN,2020-01-13,Q1006,Guinea,0.0,0.0,13132792,10.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
