location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
BT,2020-01-01,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT,2020-01-02,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT,2020-01-03,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT,2020-01-04,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT,2020-01-05,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT,2020-01-06,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT,2020-01-07,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT,2020-01-08,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT,2020-01-09,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT,2020-01-10,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT,2020-01-11,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT,2020-01-12,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT,2020-01-13,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT,2020-01-14,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT,2020-01-15,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33
BT,2020-01-16,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33
BT,2020-01-17,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33
BT,2020-01-18,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33
BT,2020-01-19,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33
BT,2020-01-20,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33
BT,2020-01-21,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33
BT,2020-01-22,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33
BT,2020-01-23,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-01-24,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-01-25,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-01-26,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-01-27,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-01-28,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-01-29,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-01-30,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-01-31,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-01,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-02,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-03,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-04,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-05,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-06,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-07,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-08,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-09,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-10,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-11,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-12,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-13,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-14,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-15,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-16,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-17,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-18,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-19,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-20,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-21,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-22,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-23,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-24,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-25,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-26,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-27,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-28,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-02-29,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-03-01,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-03-02,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-03-03,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-03-04,Q917,Bhutan,1.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-03-05,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89
BT,2020-03-06,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,31.48
BT,2020-03-07,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,31.48
BT,2020-03-08,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,31.48
BT,2020-03-09,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,31.48
BT,2020-03-10,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,31.48
BT,2020-03-11,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,31.48
BT,2020-03-12,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,31.48
BT,2020-03-13,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,31.48
BT,2020-03-14,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,31.48
BT,2020-03-15,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,31.48
BT,2020-03-16,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,31.48
BT,2020-03-17,Q917,Bhutan,1.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,31.48
BT,2020-03-18,Q917,Bhutan,-1.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,33.33
BT,2020-03-19,Q917,Bhutan,1.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,33.33
BT,2020-03-20,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,33.33
BT,2020-03-21,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,33.33
BT,2020-03-22,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,33.33
BT,2020-03-23,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,38.89
BT,2020-03-24,Q917,Bhutan,1.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,38.89
BT,2020-03-25,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,38.89
BT,2020-03-26,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,42.59
BT,2020-03-27,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-03-28,Q917,Bhutan,1.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-03-29,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-03-30,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-03-31,Q917,Bhutan,1.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-01,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-02,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-03,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-04,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-05,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-06,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-07,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-08,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-09,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-10,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-11,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-12,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-13,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-14,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-15,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-16,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-17,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-18,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-19,Q917,Bhutan,1.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-20,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-21,Q917,Bhutan,1.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-22,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-23,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-24,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-25,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-26,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
BT,2020-04-27,Q917,Bhutan,0.0,0.0,771612,27.45,90.5,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,83.33
