date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,,Q1030,Namibia,2540916,-23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,,Q1030,Namibia,2540916,-23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2
2020-01-16,,Q1030,Namibia,2540916,-23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,,Q1030,Namibia,2540916,-23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,,Q1030,Namibia,2540916,-23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,,Q1030,Namibia,2540916,-23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,,Q1030,Namibia,2540916,-23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,,Q1030,Namibia,2540916,-23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,,Q1030,Namibia,2540916,-23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-03-05,,Q1030,Namibia,2540916,-23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,10
2020-03-12,,Q1030,Namibia,2540916,-23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,11
2020-03-19,,Q1030,Namibia,2540916,-23.0,17.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,50.0,1.0,0.0,12
2020-03-26,,Q1030,Namibia,2540916,-23.0,17.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,2.0,52.78,5.0,0.0,13
2020-04-02,,Q1030,Namibia,2540916,-23.0,17.0,3.0,0.0,2.0,3.0,0.0,2.0,2.0,4.0,2.0,66.67,5.0,0.0,14
2020-04-09,,Q1030,Namibia,2540916,-23.0,17.0,3.0,0.0,2.0,3.0,0.0,2.0,2.0,4.0,2.0,66.67,3.0,0.0,15
2020-04-16,,Q1030,Namibia,2540916,-23.0,17.0,3.0,0.0,2.0,3.0,0.0,2.0,2.0,4.0,2.0,66.67,0.0,0.0,16
2020-04-23,,Q1030,Namibia,2540916,-23.0,17.0,3.0,1.0,2.0,3.0,0.0,2.0,2.0,4.0,2.0,73.15,0.0,0.0,17
2020-04-30,,Q1030,Namibia,2540916,-23.0,17.0,3.0,1.0,2.0,3.0,0.0,2.0,2.0,4.0,2.0,73.15,0.0,0.0,18
2020-05-07,,Q1030,Namibia,2540916,-23.0,17.0,3.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,2.0,73.15,0.0,0.0,19
2020-05-14,,Q1030,Namibia,2540916,-23.0,17.0,3.0,2.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,66.67,0.0,0.0,20
2020-05-21,,Q1030,Namibia,2540916,-23.0,17.0,3.0,2.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,66.67,2.0,0.0,21
