date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,DM,Q784,Dominica,71991,15.416667,-61.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,DM,Q784,Dominica,71991,15.416667,-61.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,DM,Q784,Dominica,71991,15.416667,-61.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,DM,Q784,Dominica,71991,15.416667,-61.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,DM,Q784,Dominica,71991,15.416667,-61.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,DM,Q784,Dominica,71991,15.416667,-61.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,DM,Q784,Dominica,71991,15.416667,-61.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,DM,Q784,Dominica,71991,15.416667,-61.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,DM,Q784,Dominica,71991,15.416667,-61.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-03-05,DM,Q784,Dominica,71991,15.416667,-61.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2020-03-12,DM,Q784,Dominica,71991,15.416667,-61.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2020-03-19,DM,Q784,Dominica,71991,15.416667,-61.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2020-03-26,DM,Q784,Dominica,71991,15.416667,-61.333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,25.0,11.0,0.0,13
2020-04-02,DM,Q784,Dominica,71991,15.416667,-61.333333,3.0,3.0,2.0,4.0,0.0,2.0,1.0,4.0,2.0,79.63,0.0,0.0,14
2020-04-09,DM,Q784,Dominica,71991,15.416667,-61.333333,3.0,3.0,2.0,4.0,0.0,2.0,1.0,4.0,2.0,79.63,5.0,0.0,15
2020-04-16,DM,Q784,Dominica,71991,15.416667,-61.333333,3.0,3.0,2.0,4.0,0.0,2.0,1.0,4.0,2.0,79.63,0.0,0.0,16
2020-04-23,DM,Q784,Dominica,71991,15.416667,-61.333333,3.0,3.0,2.0,4.0,0.0,2.0,1.0,4.0,2.0,79.63,0.0,0.0,17
2020-04-30,DM,Q784,Dominica,71991,15.416667,-61.333333,3.0,3.0,2.0,4.0,0.0,2.0,1.0,4.0,2.0,79.63,0.0,0.0,18
2020-05-07,DM,Q784,Dominica,71991,15.416667,-61.333333,3.0,3.0,2.0,4.0,0.0,2.0,1.0,4.0,2.0,79.63,0.0,0.0,19
2020-05-14,DM,Q784,Dominica,71991,15.416667,-61.333333,3.0,2.0,2.0,4.0,0.0,2.0,1.0,4.0,2.0,75.93,0.0,0.0,20
2020-05-21,DM,Q784,Dominica,71991,15.416667,-61.333333,3.0,2.0,2.0,4.0,0.0,1.0,1.0,4.0,2.0,72.22,0.0,0.0,21
2020-05-28,DM,Q784,Dominica,71991,15.416667,-61.333333,3.0,2.0,2.0,4.0,0.0,1.0,1.0,4.0,2.0,72.22,0.0,0.0,22
2020-06-04,DM,Q784,Dominica,71991,15.416667,-61.333333,3.0,2.0,2.0,4.0,0.0,1.0,1.0,4.0,2.0,72.22,0.0,0.0,23
2020-06-11,DM,Q784,Dominica,71991,15.416667,-61.333333,3.0,2.0,2.0,4.0,0.0,1.0,1.0,4.0,2.0,72.22,2.0,0.0,24
2020-06-18,DM,Q784,Dominica,71991,15.416667,-61.333333,3.0,2.0,2.0,4.0,0.0,1.0,1.0,4.0,2.0,72.22,0.0,0.0,25
